year,2017,2018,2019,2020,2021,2022,2023,2024
A3,23610,18305,10418,9937,2390,9788,13625,9528
A4,37674,34566,26435,18341,16263,15239,13550,7036
A5,21301,25972,23023,18828,17408,18349,23777,24636
A6,16304,10561,17807,10535,9544,6003,8319,8519
A7,4810,3852,4955,2859,3081,2237,1810,1574
A8,3127,1599,2963,2376,2069,1594,2259,1628
R8,772,927,574,581,649,314,631,330
TT,2294,1289,1324,830,986,516,725,38
E-tron,,,5369,5919,7429,7503,,
E-tronGT,,,,,1226,2275,3202,2894
E-tronSportback,,,,1283,2266,2894,,
Q4 E-tron,,,,,45,2929,8144,8546
Q4 Sportback E-tron,,,,,19,576,2606,2810
Q6 E-tron,,,,,,,,966
Q8 E-tron,,,,,,7503,8180,5978
Q8 Sportback E-tron,,,,,,2894,2907,1958
Q3,20633,16828,14822,27251,34462,25066,22189,32090
Q5,57640,69978,67516,50435,60301,62912,74145,56799
Q7,38346,37417,34649,25371,25362,19308,28931,20894
Q8,,2029,14256,12074,12538,9372,13550,10352
